,City,Country,Latitude,Longitude,Temperature,Humidity,Wind Speed,Cloudiness
0,yarmouth,ca,43.84,-66.12,64.4,72,9.17,20
0,punta arenas,cl,-53.16,-70.91,37.4,64,24.16,20
0,rikitea,pf,-23.12,-134.97,76.28,100,10.76,80
0,dikson,ru,73.51,80.55,29.66,97,3.38,88
0,punta arenas,cl,-53.16,-70.91,37.4,64,24.16,20
0,kavieng,pg,-2.57,150.8,83.57,100,2.59,76
0,,,-2.57,150.8,83.57,100,2.59,76
0,,,-2.57,150.8,83.57,100,2.59,76
0,albany,au,-35.02,117.88,53.78,86,7.63,68
0,,,-35.02,117.88,53.78,86,7.63,68
0,rikitea,pf,-23.12,-134.97,76.28,100,10.76,80
0,hermiston,us,45.84,-119.29,73.4,28,11.41,1
0,wanning,cn,18.8,110.4,84.47,100,7.52,32
0,port blair,in,11.67,92.75,80.96,100,13.33,80
0,san andres,co,8.22,-76.58,83.03,100,3.71,24
0,cape town,za,-33.93,18.42,50.0,93,6.93,0
0,,,-33.93,18.42,50.0,93,6.93,0
0,khatanga,ru,71.98,102.47,29.03,81,3.27,0
0,saint-augustin,ca,45.63,-73.98,75.2,36,9.17,20
0,dikson,ru,73.51,80.55,29.66,97,3.38,88
0,kapaa,us,22.08,-159.32,77.0,88,13.87,75
0,cape town,za,-33.93,18.42,50.0,93,6.93,0
0,fortuna,us,40.6,-124.16,53.6,81,11.41,75
0,ushuaia,ar,-54.81,-68.31,37.4,80,24.16,40
0,yumen,cn,40.29,97.04,50.36,61,3.15,0
0,bethel,us,60.79,-161.76,44.6,75,14.99,90
0,georgetown,sh,-7.93,-14.42,79.34,100,14.23,8
0,esperance,au,-33.86,121.89,45.41,68,9.75,0
0,longyearbyen,sj,78.22,15.64,35.6,74,11.41,75
0,,,78.22,15.64,35.6,74,11.41,75
0,barrow,us,39.51,-90.4,80.6,69,3.36,40
0,east london,za,-33.02,27.91,55.4,71,9.17,0
0,palaikastron,gr,35.2,26.25,71.51,95,21.16,0
0,rikitea,pf,-23.12,-134.97,76.28,100,10.76,80
0,port elizabeth,za,-33.92,25.57,57.2,76,14.99,0
0,yellowknife,ca,62.45,-114.38,50.0,34,19.46,20
0,ribeira grande,pt,38.52,-28.7,68.0,64,16.11,40
0,cherskiy,ru,68.75,161.3,41.99,73,4.72,92
0,,,68.75,161.3,41.99,73,4.72,92
0,guerrero negro,mx,27.97,-114.04,65.21,78,9.86,24
0,mar del plata,ar,-46.43,-67.52,49.73,60,13.89,0
0,nevesinje,ba,43.26,18.11,71.6,78,4.7,0
0,shimoda,jp,34.7,138.93,68.0,94,6.17,75
0,tateyama,jp,36.66,137.31,58.19,72,1.92,92
0,butaritari,ki,3.07,172.79,83.93,100,11.43,92
0,tasiilaq,gl,65.61,-37.64,35.6,87,18.34,90
0,itoman,jp,26.12,127.67,80.6,94,8.05,1
0,,,26.12,127.67,80.6,94,8.05,1
0,russell,nz,-35.26,174.12,33.08,74,4.05,0
0,omboue,ga,-1.57,9.26,78.53,100,9.98,20
0,rikitea,pf,-23.12,-134.97,76.28,100,10.76,80
0,,,-23.12,-134.97,76.28,100,10.76,80
0,kavieng,pg,-2.57,150.8,83.57,100,2.59,76
0,rikitea,pf,-23.12,-134.97,76.28,100,10.76,80
0,kapaa,us,22.08,-159.32,77.0,88,13.87,75
0,leh,in,34.16,77.58,21.11,93,1.92,88
0,matara,lk,5.95,80.54,83.21,87,16.8,92
0,gizo,sb,-8.1,156.84,78.53,100,13.89,92
0,carnarvon,au,-24.87,113.63,66.29,98,12.77,0
0,avarua,ck,-21.21,-159.78,78.8,94,11.41,75
0,vanavara,ru,60.35,102.28,41.54,93,2.59,20
0,east london,za,-33.02,27.91,55.4,71,9.17,0
0,grand gaube,mu,-20.01,57.66,71.6,83,2.24,40
0,new norfolk,au,-42.78,147.06,46.4,65,9.17,20
0,punta arenas,cl,-53.16,-70.91,37.4,64,24.16,20
